"","Collar","NH4","NO3","ID.USUARIO","Block","Plot","Treat","Extract","Treatment","freshsoil_g","KCL_L","soilm_tin","soilm_wet_g","soilm_dry_tin","soilm_dry_g","soilm_grav","drysoil_sample_g","liquid_sample_L","mgNH4_gsoil","mgNO3_gsoil","mgNH4_kgsoil","mgNO3_kgsoil","percC","percN","C.N"
"1","1-2-con",1.2,1.3,"1-2-con-KCl",1,2,"con","KCl","control",6.51,0.02,2.85,10.09,10.47,7.62,0.324146981627296,4.91637264618434,0.0215936273538157,0.00527062423648657,0.00570984292286045,5.27062423648657,5.70984292286045,5.81,0.47,12.4
"2","1-2-war",1.1,1.03,"1-2-war-KCl",1,2,"war","KCl","warming",6.53,0.02,2.87,10.06,10.84,7.97,0.262233375156838,5.17336978131213,0.0213566302186879,0.00454100407154702,0.00425203108517584,4.54100407154702,4.25203108517584,5.63,0.42,13.4
"3","1-4-con",1.21,0.39,"1-4-con-KCl",1,4,"con","KCl","control",6.52,0.02,2.84,10.03,10.4,7.56,0.326719576719577,4.91437686939183,0.0216056231306082,0.00531965795111501,0.00171460049664037,5.31965795111501,1.71460049664037,4.76,0.41,11.6
"4","1-4-war",1.63,0.9,"1-4-war-KCl",1,4,"war","KCl","warming",6.52,0.02,3.57,10.12,11.45,7.88,0.284263959390863,5.07683794466403,0.021443162055336,0.00688467005076142,0.00380135156177011,6.88467005076142,3.80135156177011,11.67,0.85,13.7
"5","1-5-con",1.03,0.29,"1-5-con-KCl",1,5,"con","KCl","control",6.54,0.02,2.86,9.98,10.38,7.52,0.327127659574468,4.92793587174349,0.0216120641282565,0.00451719069230269,0.00127183038909493,4.51719069230269,1.27183038909493,8.72,0.67,13
"6","1-5-war",2.47,0.39,"1-5-war-KCl",1,5,"war","KCl","warming",6.5,0.02,3.56,9.92,11.76,8.2,0.209756097560976,5.37298387096774,0.0211270161290323,0.00971224390243903,0.00153351219512195,9.71224390243903,1.53351219512195,11.09,0.81,13.7
"7","1-7-con",1.4,0.94,"1-7-con-KCl",1,7,"con","KCl","control",6.51,0.02,2.85,10.11,10.7,7.85,0.287898089171975,5.05474777448071,0.0214552522255193,0.00594240394493528,0.0039898997915994,5.94240394493528,3.9898997915994,6.03,0.48,12.6
"8","1-7-war",1.62,0.6,"1-7-war-KCl",1,7,"war","KCl","warming",6.53,0.02,3.54,10.18,11.45,7.91,0.286978508217446,5.07389980353635,0.0214561001964637,0.0068505259591538,0.00253723183672363,6.8505259591538,2.53723183672363,4.95,0.4,12.4
"9","1-9-con",1.17,0.54,"1-9-con-KCl",1,9,"con","KCl","control",6.51,0.02,3.54,9.97,11.24,7.7,0.294805194805195,5.02778335005015,0.0214822166499498,0.00499906056616195,0.00230725872284398,4.99906056616195,2.30725872284398,5.07,0.41,12.4
"10","1-9-war",1.18,0.5,"1-9-war-KCl",1,9,"war","KCl","warming",6.53,0.02,2.86,9.95,10.51,7.65,0.300653594771242,5.0205527638191,0.0215094472361809,0.0050554488584612,0.00214213934680559,5.0554488584612,2.14213934680559,8.27,0.55,15
"11","2-17-con",1.33,0.6,"2-17-con-KCl",2,17,"con","KCl","control",6.48,0.02,3.57,9.99,10.57,7,0.427142857142857,4.54054054054054,0.0219394594594595,0.00642643333333333,0.00289914285714286,6.42643333333333,2.89914285714286,10.26,0.81,12.7
"12","2-17-war",1.36,1.05,"2-17-war-KCl",2,17,"war","KCl","warming",6.55,0.02,17.72,10.03,25.36,7.64,0.31282722513089,4.98923230309073,0.0215607676969093,0.00587718556412613,0.00453753297230327,5.87718556412613,4.53753297230327,8.62,0.63,13.7
"13","2-18-con",1.12,0.61,"2-18-con-KCl",2,18,"con","KCl","control",6.48,0.02,3.54,10.09,11.38,7.84,0.286989795918367,5.03500495540139,0.0214449950445986,0.00477028218694885,0.0025981001196775,4.77028218694885,2.5981001196775,4,0.34,11.8
"14","2-18-war",2.19,1,"2-18-war-KCl",2,18,"war","KCl","warming",6.54,0.02,3.55,10.08,11.74,8.19,0.230769230769231,5.31375,0.02122625,0.00874815102328864,0.00399458950835098,8.74815102328864,3.99458950835098,4.85,0.41,11.8
"15","2-20-con",1.54,0.41,"2-20-con-KCl",2,20,"con","KCl","control",6.5,0.02,2.86,10.06,10.42,7.56,0.330687830687831,4.88469184890656,0.0216153081510934,0.00681467236467237,0.00181429588929589,6.81467236467237,1.81429588929589,4.16,0.35,11.9
"16","2-20-war",2.15,0.23,"2-20-war-KCl",2,20,"war","KCl","warming",6.53,0.02,3.62,10.01,11.59,7.97,0.255959849435383,5.19921078921079,0.0213307892107892,0.00882079966797389,0.000943620429597207,8.82079966797389,0.943620429597207,4.82,0.4,12
"17","3-3-con",1.14,1.02,"3-3-con-KCl",3,3,"con","KCl","control",6.66,0.02,3.57,10.03,10.76,7.19,0.394993045897079,4.77421734795613,0.0218857826520439,0.00522594394115952,0.0046758445789322,5.22594394115952,4.6758445789322,7.91,0.65,12.2
"18","3-3-war",3.6,1.24,"3-3-war-KCl",3,3,"war","KCl","warming",6.69,0.02,2.95,9.95,10.84,7.89,0.261089987325729,5.30493467336683,0.0213850653266332,0.0145121928762639,0.00499864421293533,14.5121928762639,4.99864421293533,11.26,0.83,13.6
"19","3-12-con",1.25,1.64,"3-12-con-KCl",3,12,"con","KCl","control",6.66,0.02,3.57,10.05,11.02,7.45,0.348993288590604,4.93701492537313,0.0217229850746269,0.00550003023157386,0.0072160396638249,5.50003023157386,7.2160396638249,12.26,0.89,13.8
"20","3-12-war",1.31,1.44,"3-12-war-KCl",3,12,"war","KCl","warming",6.63,0.02,3.57,10.13,11.22,7.65,0.324183006535948,5.0068608094768,0.0216231391905232,0.0056574994627313,0.00621893070712448,5.6574994627313,6.21893070712448,10.3,0.77,13.4
