"","sample_id","Result(NPOC)","Result(TN)","Block","Plot","Treatment","FUM","freshsoil_g","soilm_tin","soilm_wet_g","soilm_dry_tin","k2so4_L"
"1","1-2 -WAR FUM UNF ","30.36","2.474",1,2,"warming","fum",5.01,2.87,10.06,10.84,0.025
"2","1-5 WAR FUM","44.12","3.956",1,5,"warming","fum",4.98,3.56,9.92,11.76,0.025
"3","1-7 WAR FUM","30.59","3.385",1,7,"warming","fum",4.98,3.54,10.18,11.45,0.025
"4","1-9 CON FUM","28.3","2.677",1,9,"control","fum",5.04,3.54,9.97,11.24,0.025
"5","2.17 CON FUM","38.7","4.351",2,17,"control","fum",5.01,3.57,9.99,10.57,0.025
"6","3.3 CON FUM","35.02","3.729",3,3,"control","fum",4.85,3.57,10.03,10.76,0.025
"7","3.12 CON FUM","36.37","4.531",3,12,"control","fum",5.13,3.57,10.05,11.02,0.025
"8","3.12  WARFUM","34.84","4.184",3,12,"warming","fum",4.97,3.57,10.13,11.22,0.025
"9","3.14 CON FUN","39.06","4.627",3,14,"control","fum",4.92,3.55,10.16,10.42,0.025
"10","3-14 WAR FUM","34.44","3.864",3,14,"warming","fum",4.91,3.55,10.13,11.37,0.025
"11","3-16 WAR FUM","38.35","4.054",3,16,"warming","fum",4.98,3.6,10.01,11.27,0.025
"12","4-6 CON FUM","39.17","4.852",4,6,"control","fum",5.11,2.71,10.09,10.16,0.025
"13","4-6 WAR FUM","45.84","5.013",4,6,"warming","fum",5.04,3.57,9.99,11.74,0.025
"14","4-6 WAR UF","20.73","1.926",4,6,"warming","uf",4.99,3.57,9.99,11.74,0.025
"15","4-8 WAR FUM","43.66","5.610",4,8,"warming","fum",5.12,3.53,10.07,10.96,0.025
"16","4-11 WAR FUM","45.74","5.405",4,11,"warming","fum",4.85,3.59,9.97,11.28,0.025
"17","4-15 CON FUM","48.01","5.512",4,15,"control","fum",4.94,1.03,10.02,8.99,0.025
"18","4-15 WAR FUM","36.67","4.0940",4,15,"warming","fum",4.9,3.56,10.02,11.35,0.025
"19","4-19 CON FUM","37.85","4.475",4,19,"control","fum",4.91,3.59,10.06,11.01,0.025
