ID USUARIO,Block,Plot,treat,Collar,ID LAB,N-NH4+,N-NO3-
1-2-con-KCl,1,2,con,1-2-con,S-22-05167,1.2,1.3
1-2-war-KCl,1,2,war,1-2-war,S-22-05168,1.1,1.03
1-4-con-KCl,1,4,con,1-4-con,S-22-05169,1.21,0.39
1-4-war-KCl,1,4,war,1-4-war,S-22-05170,1.63,0.9
1-5-con-KCl,1,5,con,1-5-con,S-22-05171,1.03,0.29
1-5-war-KCl,1,5,war,1-5-war,S-22-05172,2.47,0.39
1-7-con-KCl,1,7,con,1-7-con,S-22-05173,1.4,0.94
1-7-war-KCl,1,7,war,1-7-war,S-22-05174,1.62,0.6
1-9-con-KCl,1,9,con,1-9-con,S-22-05175,1.17,0.54
1-9-war-KCl,1,9,war,1-9-war,S-22-05176,1.18,0.5
2-17-con-KCl,2,17,con,2-17-con,S-22-05177,1.33,0.6
2-17-war-KCl,2,17,war,2-17-war,S-22-05178,1.36,1.05
2-18-con-KCl,2,18,con,2-18-con,S-22-05179,1.12,0.61
2-18-war-KCl,2,18,war,2-18-war,S-22-05180,2.19,1
2-20-con-KCl,2,20,con,2-20-con,S-22-05181,1.54,0.41
2-20-war-KCl,2,20,war,2-20-war,S-22-05182,2.15,0.23
3-3-con-KCl,3,3,con,3-3-con,S-22-05183,1.14,1.02
3-3-war-KCl,3,3,war,3-3-war,S-22-05184,3.6,1.24
3-12-con-KCl,3,12,con,3-12-con,S-22-05185,1.25,1.64
3-12-war-KCl,3,12,war,3-12-war,S-22-05186,1.31,1.44
3-14-con-KCl,3,14,con,3-14-con,S-22-05187,1.12,0.73
3-14-war-KCl,3,14,war,3-14-war,S-22-05188,1.26,0.6
3-16-con-KCl,3,16,con,3-16-con,S-22-05189,1.09,0.16
3-16-war-KCl,3,16,war,3-16-war,S-22-05190,1.38,1.19
4-6-con-KCl,4,6,con,4-6-con,S-22-05191,1.08,1.44
4-6-war-KCl,4,6,war,4-6-war,S-22-05192,2.41,0.4
4-8-con-KCl,4,8,con,4-8-con,S-22-05193,1.61,0.21
4-8-war-KCl,4,8,war,4-8-war,S-22-05194,1.51,0.54
4-11-con-KCl,4,11,con,4-11-con,S-22-05195,1.53,0.55
4-11-war-KCl,4,11,war,4-11-war,S-22-05196,4.32,1
4-15-con-KCl,4,15,con,4-15-con,S-22-05197,2.37,0.22
4-15-war-KCl,4,15,war,4-15-war,S-22-05198,1.65,0.73
4-19-con-KCl,4,19,con,4-19-con,S-22-05199,1.22,0.83
4-19-war-KCl,4,19,war,4-19-war,S-22-05200,2.02,0.9
